No;Province;Total;Died;Lost ;Injured;Suffering;Evacuate;House;School;Medical_Facility;Religious_Place;Public_Facility;Office;Bridge;Factory;Store;Year;Type;Month;Disaster
74; Sulawesi Tenggara;1;0;0;0;0;0;21;0;0;0;0;0;0;0;0;2021;101;9;Flood
12; Sumatera Utara;7;1;3;1;16;0;16;0;0;0;0;0;0;0;0;2021;102;9;Land_Slide
33; Jawa Tengah;7;0;0;0;0;0;-1;0;0;0;0;0;1;0;0;2021;102;9;Land_Slide
61; Kalimantan Barat;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;102;9;Land_Slide
74; Sulawesi Tenggara;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;2021;104;9;Abration
12; Sumatera Utara;1;0;0;0;20;0;4;0;0;0;0;0;0;0;0;2021;105;9;Tornado
16; Sumatera Selatan;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;105;9;Tornado
33; Jawa Tengah;13;1;0;0;0;0;36;1;0;0;0;0;0;0;0;2021;105;9;Tornado
61; Kalimantan Barat;2;0;0;0;0;5;1;0;0;0;0;0;0;0;0;2021;105;9;Tornado
33; Jawa Tengah;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;106;9;Drought
35; Jawa Timur;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;106;9;Drought
12; Sumatera Utara;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;107;9;Forest Fire
19; Bangka Belitung;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;107;9;Forest Fire
33; Jawa Tengah;6;0;0;0;0;0;3;0;0;0;0;0;0;0;0;2021;107;9;Forest Fire
33; Jawa Tengah;1;0;0;0;0;0;13;0;0;0;0;0;0;0;0;2021;108;9;Earthquake
12; Sumatera Utara;5;0;0;0;0;0;1121;0;0;0;0;0;1;0;0;2021;101;10;Flood
16; Sumatera Selatan;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;101;10;Flood
32; Jawa Barat;4;0;0;0;0;60;0;0;0;0;0;0;0;0;0;2021;101;10;Flood
33; Jawa Tengah;21;50;0;0;2;4;4;0;0;0;0;0;0;0;0;2021;101;10;Flood
35; Jawa Timur;1;0;0;0;0;0;5;0;0;0;0;0;0;0;0;2021;101;10;Flood
61; Kalimantan Barat;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;101;10;Flood
63; Kalimantan Selatan;1;0;0;0;250;0;0;0;0;0;0;0;0;0;0;2021;101;10;Flood
64; Kalimantan Timur;1;0;0;0;459;15;0;0;0;0;0;0;0;0;0;2021;101;10;Flood
72; Sulawesi Tengah;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;101;10;Flood
12; Sumatera Utara;4;3;0;2;0;0;2;0;0;0;0;0;0;0;0;2021;102;10;Land_Slide
33; Jawa Tengah;40;2;0;12;33;123;27;1;0;1;8;0;1;0;1;2021;102;10;Land_Slide
35; Jawa Timur;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2021;102;10;Land_Slide
33; Jawa Tengah;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;104;10;Abration
65; Kalimantan Utara;1;0;0;0;0;0;9;0;0;0;0;0;0;0;0;2021;104;10;Abration
11; Aceh;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;105;10;Tornado
12; Sumatera Utara;2;0;0;0;0;0;13;0;0;0;0;0;0;0;0;2021;105;10;Tornado
16; Sumatera Selatan;1;0;0;0;0;0;13;0;0;0;0;0;0;0;0;2021;105;10;Tornado
18; Lampung;1;0;0;0;92;0;23;0;0;0;0;0;0;0;0;2021;105;10;Tornado
32; Jawa Barat;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2021;105;10;Tornado
33; Jawa Tengah;41;0;0;5;0;0;395;1;0;0;0;0;0;0;2;2021;105;10;Tornado
35; Jawa Timur;2;0;0;0;0;0;39;2;0;1;1;0;0;0;2;2021;105;10;Tornado
61; Kalimantan Barat;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;105;10;Tornado
71; Sulawesi Utara;1;0;0;0;0;0;18;0;0;0;0;0;0;0;0;2021;105;10;Tornado
72; Sulawesi Tengah;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2021;105;10;Tornado
74; Sulawesi Tenggara;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;2021;105;10;Tornado
32; Jawa Barat;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;106;10;Drought
33; Jawa Tengah;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;106;10;Drought
12; Sumatera Utara;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;107;10;Forest Fire
33; Jawa Tengah;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;107;10;Forest Fire
35; Jawa Timur;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;107;10;Forest Fire
63; Kalimantan Selatan;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;107;10;Forest Fire
12; Sumatera Utara;12;0;0;0;0;0;2836;0;0;0;0;0;0;0;0;2021;101;11;Flood
16; Sumatera Selatan;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;101;11;Flood
18; Lampung;2;0;0;0;576;0;0;0;0;0;0;0;0;0;0;2021;101;11;Flood
19; Bangka Belitung;20;0;0;0;0;0;296;0;0;0;0;0;1;0;0;2021;101;11;Flood
32; Jawa Barat;9;0;0;0;35;0;5;0;0;0;0;0;1;1;0;2021;101;11;Flood
33; Jawa Tengah;52;0;0;1;26;0;107;0;0;0;2;0;149;0;0;2021;101;11;Flood
35; Jawa Timur;10;0;0;0;0;409;7;0;0;0;0;0;0;0;0;2021;101;11;Flood
53; Nusa Tenggara Timur;2;55;0;0;0;0;40;0;0;0;0;0;0;0;0;2021;101;11;Flood
61; Kalimantan Barat;19;0;0;0;0;7042;8;1;1;0;0;1;7;0;0;2021;101;11;Flood
71; Sulawesi Utara;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;101;11;Flood
72; Sulawesi Tengah;9;0;0;0;0;0;10;0;0;0;0;0;0;0;0;2021;101;11;Flood
76; Sulawesi Barat;2;0;0;0;0;337;40;0;0;0;20;0;2;0;0;2021;101;11;Flood
82; Maluku Utara;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;101;11;Flood
12; Sumatera Utara;3;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2021;102;11;Land_Slide
18; Lampung;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2021;102;11;Land_Slide
32; Jawa Barat;28;0;0;0;13;289;15;0;0;0;0;0;0;0;0;2021;102;11;Land_Slide
33; Jawa Tengah;128;5;0;2;76;34;97;1;0;0;20;0;1;1;1;2021;102;11;Land_Slide
35; Jawa Timur;9;0;0;0;0;0;1;0;0;1;0;0;0;0;0;2021;102;11;Land_Slide
61; Kalimantan Barat;4;0;0;1;0;0;2;0;0;0;0;0;0;0;0;2021;102;11;Land_Slide
65; Kalimantan Utara;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;102;11;Land_Slide
71; Sulawesi Utara;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2021;102;11;Land_Slide
18; Lampung;1;0;0;0;0;19;10;0;0;0;0;0;0;0;0;2021;104;11;Abration
33; Jawa Tengah;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2021;104;11;Abration
12; Sumatera Utara;1;0;0;0;7;0;7;0;0;0;0;0;0;0;0;2021;105;11;Tornado
32; Jawa Barat;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2021;105;11;Tornado
33; Jawa Tengah;17;0;0;1;1;22;43;0;0;0;2;0;0;0;0;2021;105;11;Tornado
35; Jawa Timur;8;0;0;0;0;0;20;2;0;0;0;0;0;0;0;2021;105;11;Tornado
61; Kalimantan Barat;1;0;0;0;0;0;42;0;0;0;0;0;0;0;0;2021;105;11;Tornado
72; Sulawesi Tengah;3;1;0;0;0;1;4;0;0;0;0;0;0;0;0;2021;105;11;Tornado
33; Jawa Tengah;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;106;11;Drought
35; Jawa Timur;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;106;11;Drought
33; Jawa Tengah;3;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2021;107;11;Forest Fire
62; Kalimantan Tengah;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;107;11;Forest Fire
74; Sulawesi Tenggara;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;108;11;Earthquake
12; Sumatera Utara;10;0;0;0;444;50;1131;3;0;0;2;0;0;0;0;2021;101;12;Flood
16; Sumatera Selatan;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;101;12;Flood
18; Lampung;3;0;0;0;0;0;5;0;0;0;0;0;1;0;0;2021;101;12;Flood
19; Bangka Belitung;4;0;0;0;0;1751;974;0;0;0;0;0;0;0;0;2021;101;12;Flood
32; Jawa Barat;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;101;12;Flood
33; Jawa Tengah;22;0;0;0;0;0;581;0;0;0;2;0;1;0;2;2021;101;12;Flood
35; Jawa Timur;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;101;12;Flood
53; Nusa Tenggara Timur;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;101;12;Flood
65; Kalimantan Utara;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;101;12;Flood
72; Sulawesi Tengah;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;101;12;Flood
76; Sulawesi Barat;1;0;0;0;0;21;0;0;0;0;0;0;0;0;0;2021;101;12;Flood
12; Sumatera Utara;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;102;12;Land_Slide
13; Sumatera Barat;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;102;12;Land_Slide
16; Sumatera Selatan;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2021;102;12;Land_Slide
18; Lampung;2;0;0;0;0;0;14;0;0;0;0;0;0;0;0;2021;102;12;Land_Slide
19; Bangka Belitung;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2021;102;12;Land_Slide
33; Jawa Tengah;105;0;0;0;43;15;44;1;0;1;13;0;4;0;1;2021;102;12;Land_Slide
35; Jawa Timur;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;2021;102;12;Land_Slide
33; Jawa Tengah;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;104;12;Abration
62; Kalimantan Tengah;1;0;0;0;0;0;8;0;0;0;0;0;0;0;0;2021;104;12;Abration
71; Sulawesi Utara;1;0;0;0;1;25;0;0;0;0;0;0;0;0;0;2021;104;12;Abration
12; Sumatera Utara;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;105;12;Tornado
16; Sumatera Selatan;3;0;0;0;4;0;1;0;0;0;0;1;0;0;0;2021;105;12;Tornado
19; Bangka Belitung;3;0;0;1;0;7;1;0;0;0;0;0;0;0;0;2021;105;12;Tornado
33; Jawa Tengah;28;0;0;2;0;0;109;0;0;1;0;0;0;3;0;2021;105;12;Tornado
35; Jawa Timur;13;0;0;0;0;0;527;2;0;3;0;0;0;0;0;2021;105;12;Tornado
61; Kalimantan Barat;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;105;12;Tornado
71; Sulawesi Utara;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2021;105;12;Tornado
72; Sulawesi Tengah;3;0;0;0;0;0;21;0;0;0;0;0;0;0;0;2021;105;12;Tornado
76; Sulawesi Barat;1;0;0;0;0;2;1;0;0;0;0;0;0;0;0;2021;105;12;Tornado
82; Maluku Utara;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2021;105;12;Tornado
33; Jawa Tengah;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2021;107;12;Forest Fire
53; Nusa Tenggara Timur;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;108;12;Earthquake
35; Jawa Timur;1;34;0;169;5205;4350;0;0;0;0;0;0;1;0;0;2021;111;12;Volcano Eruption
16; Sumatera Selatan;23;0;0;0;1022;22;12;0;0;0;3;0;5;0;0;2022;101;1;Flood
18; Lampung;4;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2022;101;1;Flood
19; Bangka Belitung;3;0;0;0;0;792;200;0;0;0;0;0;0;0;0;2022;101;1;Flood
32; Jawa Barat;6;0;0;0;1740;0;0;0;0;0;0;0;0;0;0;2022;101;1;Flood
33; Jawa Tengah;25;0;0;0;1800;0;525;0;0;0;0;0;10;0;0;2022;101;1;Flood
35; Jawa Timur;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;101;1;Flood
61; Kalimantan Barat;1;0;0;0;192;0;192;2;1;3;0;1;0;0;0;2022;101;1;Flood
64; Kalimantan Timur;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;101;1;Flood
65; Kalimantan Utara;2;0;0;0;0;342;114;0;0;0;0;0;0;0;0;2022;101;1;Flood
71; Sulawesi Utara;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;101;1;Flood
72; Sulawesi Tengah;6;1;0;0;0;0;15;0;0;0;0;0;0;0;0;2022;101;1;Flood
74; Sulawesi Tenggara;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;101;1;Flood
94; Papua;1;0;0;0;0;48;42;0;0;1;1;0;0;0;0;2022;101;1;Flood
12; Sumatera Utara;2;0;0;0;0;0;0;0;0;0;1;1;0;0;0;2022;102;1;Land_Slide
13; Sumatera Barat;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;102;1;Land_Slide
16; Sumatera Selatan;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;102;1;Land_Slide
18; Lampung;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;102;1;Land_Slide
32; Jawa Barat;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2022;102;1;Land_Slide
33; Jawa Tengah;134;0;0;6;13;3;25;4;0;0;3;0;5;0;0;2022;102;1;Land_Slide
35; Jawa Timur;11;0;0;0;0;0;0;0;0;0;2;0;1;0;0;2022;102;1;Land_Slide
64; Kalimantan Timur;1;0;0;0;6;0;0;0;0;0;0;0;0;0;0;2022;102;1;Land_Slide
65; Kalimantan Utara;1;0;0;0;0;6;1;0;0;0;0;0;0;0;0;2022;102;1;Land_Slide
71; Sulawesi Utara;7;0;0;0;0;0;2;0;0;0;1;0;0;0;0;2022;102;1;Land_Slide
72; Sulawesi Tengah;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2022;102;1;Land_Slide
74; Sulawesi Tenggara;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;102;1;Land_Slide
94; Papua;1;0;0;0;0;40;0;0;0;0;0;0;0;0;0;2022;102;1;Land_Slide
33; Jawa Tengah;1;0;0;0;3;0;1;0;0;0;0;0;0;0;0;2022;103;1;Flood and Land Slide
65; Kalimantan Utara;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;103;1;Flood and Land Slide
94; Papua;4;8;0;6;0;11880;729;1;1;0;3;1;0;0;0;2022;103;1;Flood and Land Slide
12; Sumatera Utara;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2022;105;1;Tornado
13; Sumatera Barat;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;105;1;Tornado
16; Sumatera Selatan;5;0;0;1;2;13;61;0;0;0;0;0;0;0;0;2022;105;1;Tornado
32; Jawa Barat;8;0;0;0;95;0;252;0;0;0;0;0;0;0;0;2022;105;1;Tornado
33; Jawa Tengah;71;0;0;2;33;31;85;3;0;2;2;0;0;5;1;2022;105;1;Tornado
35; Jawa Timur;21;0;0;3;0;0;52;0;0;0;1;2;0;0;3;2022;105;1;Tornado
65; Kalimantan Utara;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2022;105;1;Tornado
71; Sulawesi Utara;4;0;0;0;1;4;4;0;0;0;0;0;0;0;0;2022;105;1;Tornado
72; Sulawesi Tengah;5;0;0;0;0;0;5;0;0;3;0;0;0;0;0;2022;105;1;Tornado
94; Papua;1;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2022;105;1;Tornado
16; Sumatera Selatan;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;107;1;Forest Fire
33; Jawa Tengah;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;107;1;Forest Fire
64; Kalimantan Timur;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;107;1;Forest Fire
16; Sumatera Selatan;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;108;1;Earthquake
32; Jawa Barat;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;2022;108;1;Earthquake
16; Sumatera Selatan;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;111;1;Volcano Eruption
12; Sumatera Utara;1;0;0;0;0;0;781;0;0;0;0;0;0;0;0;2022;101;2;Flood
16; Sumatera Selatan;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;101;2;Flood
18; Lampung;3;0;0;0;672;0;0;0;0;0;0;0;1;0;0;2022;101;2;Flood
19; Bangka Belitung;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;101;2;Flood
32; Jawa Barat;12;0;0;0;5;90;6;0;0;0;6;0;0;0;0;2022;101;2;Flood
33; Jawa Tengah;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;101;2;Flood
35; Jawa Timur;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;101;2;Flood
61; Kalimantan Barat;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;101;2;Flood
71; Sulawesi Utara;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;101;2;Flood
72; Sulawesi Tengah;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;101;2;Flood
94; Papua;3;0;0;0;0;28;1;0;0;0;0;0;0;0;0;2022;101;2;Flood
12; Sumatera Utara;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;102;2;Land_Slide
16; Sumatera Selatan;7;0;0;0;0;0;1;0;0;0;6;0;0;0;0;2022;102;2;Land_Slide
18; Lampung;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2022;102;2;Land_Slide
32; Jawa Barat;26;0;0;0;0;0;59;0;0;1;3;0;2;0;0;2022;102;2;Land_Slide
33; Jawa Tengah;48;0;0;0;1;1;4;0;0;2;0;0;0;0;0;2022;102;2;Land_Slide
35; Jawa Timur;7;0;0;0;1;0;1;0;0;0;0;0;1;0;0;2022;102;2;Land_Slide
64; Kalimantan Timur;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;102;2;Land_Slide
71; Sulawesi Utara;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2022;102;2;Land_Slide
72; Sulawesi Tengah;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;102;2;Land_Slide
94; Papua;1;0;0;0;0;63;27;0;0;1;0;0;0;0;0;2022;102;2;Land_Slide
33; Jawa Tengah;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;103;2;Flood and Land Slide
65; Kalimantan Utara;1;0;0;0;0;292;10;2;1;1;5;0;0;0;0;2022;103;2;Flood and Land Slide
35; Jawa Timur;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;104;2;Abration
16; Sumatera Selatan;11;0;0;7;3;17;142;2;0;0;0;0;0;0;0;2022;105;2;Tornado
19; Bangka Belitung;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;105;2;Tornado
32; Jawa Barat;45;0;0;0;0;0;132;0;0;0;2;0;0;0;0;2022;105;2;Tornado
33; Jawa Tengah;60;0;0;2;0;0;540;7;3;2;1;0;0;0;0;2022;105;2;Tornado
35; Jawa Timur;11;0;0;1;0;0;81;1;0;2;0;0;0;0;10;2022;105;2;Tornado
65; Kalimantan Utara;1;0;0;0;0;3;1;0;0;0;0;0;0;0;0;2022;105;2;Tornado
74; Sulawesi Tenggara;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;105;2;Tornado
32; Jawa Barat;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;106;2;Drought
12; Sumatera Utara;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;107;2;Forest Fire
15; Jambi;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;107;2;Forest Fire
19; Bangka Belitung;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;107;2;Forest Fire
62; Kalimantan Tengah;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;107;2;Forest Fire
64; Kalimantan Timur;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;107;2;Forest Fire
16; Sumatera Selatan;9;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2022;101;3;Flood
18; Lampung;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2022;101;3;Flood
32; Jawa Barat;13;0;0;0;22921;254;0;0;0;0;0;0;0;0;0;2022;101;3;Flood
33; Jawa Tengah;36;0;0;0;2;1775;19;5;0;0;0;0;2;0;0;2022;101;3;Flood
35; Jawa Timur;13;0;0;4;23890;674;6;3;0;0;0;0;4;0;0;2022;101;3;Flood
63; Kalimantan Selatan;4;0;0;0;2835;0;0;0;0;0;0;0;0;0;0;2022;101;3;Flood
64; Kalimantan Timur;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;101;3;Flood
71; Sulawesi Utara;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2022;101;3;Flood
72; Sulawesi Tengah;3;0;0;0;0;0;59;0;0;0;50;0;2;0;0;2022;101;3;Flood
94; Papua;1;0;0;0;0;22;0;0;0;0;0;0;0;0;0;2022;101;3;Flood
12; Sumatera Utara;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;102;3;Land_Slide
16; Sumatera Selatan;5;0;0;0;34;0;6;0;1;0;0;0;0;0;0;2022;102;3;Land_Slide
32; Jawa Barat;11;0;0;0;116;0;7;0;0;0;0;0;1;0;0;2022;102;3;Land_Slide
33; Jawa Tengah;75;0;0;0;0;65;236;6;0;6;108;0;4;9;2;2022;102;3;Land_Slide
35; Jawa Timur;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;102;3;Land_Slide
94; Papua;1;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;2022;102;3;Land_Slide
16; Sumatera Selatan;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;103;3;Flood and Land Slide
33; Jawa Tengah;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;103;3;Flood and Land Slide
72; Sulawesi Tengah;1;0;0;0;0;0;15;0;0;0;0;0;3;0;0;2022;103;3;Flood and Land Slide
13; Sumatera Barat;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;105;3;Tornado
16; Sumatera Selatan;11;0;0;2;117;0;169;0;1;0;2;0;0;0;0;2022;105;3;Tornado
18; Lampung;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;2022;105;3;Tornado
19; Bangka Belitung;7;0;0;0;0;3;88;1;0;1;0;0;0;0;0;2022;105;3;Tornado
32; Jawa Barat;31;0;0;1;168;4;143;0;0;0;3;0;0;0;7;2022;105;3;Tornado
33; Jawa Tengah;33;1;0;0;0;0;270;3;0;4;25;0;1;0;10;2022;105;3;Tornado
35; Jawa Timur;7;0;0;0;0;0;28;0;0;0;0;0;0;0;3;2022;105;3;Tornado
65; Kalimantan Utara;2;0;0;0;0;4;1;0;0;0;0;0;0;0;0;2022;105;3;Tornado
72; Sulawesi Tengah;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;105;3;Tornado
32; Jawa Barat;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;106;3;Drought
12; Sumatera Utara;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;107;3;Forest Fire
16; Sumatera Selatan;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;107;3;Forest Fire
32; Jawa Barat;3;0;0;0;3;3;0;0;0;0;0;0;0;0;0;2022;107;3;Forest Fire
63; Kalimantan Selatan;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;107;3;Forest Fire
71; Sulawesi Utara;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;108;3;Earthquake
12; Sumatera Utara;1;0;0;0;14;0;4;0;0;0;0;0;0;0;0;2022;101;4;Flood
16; Sumatera Selatan;2;0;0;0;1625;1625;0;1;0;0;0;0;0;0;0;2022;101;4;Flood
18; Lampung;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;101;4;Flood
33; Jawa Tengah;9;0;0;0;0;0;2;0;0;0;0;0;2;0;0;2022;101;4;Flood
64; Kalimantan Timur;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;101;4;Flood
65; Kalimantan Utara;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;101;4;Flood
71; Sulawesi Utara;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;101;4;Flood
12; Sumatera Utara;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;102;4;Land_Slide
13; Sumatera Barat;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;102;4;Land_Slide
16; Sumatera Selatan;4;0;0;0;1;1;1;0;0;0;3;0;0;0;0;2022;102;4;Land_Slide
18; Lampung;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2022;102;4;Land_Slide
32; Jawa Barat;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;102;4;Land_Slide
33; Jawa Tengah;19;0;0;0;0;0;3;0;0;0;0;0;0;0;0;2022;102;4;Land_Slide
71; Sulawesi Utara;4;0;0;0;0;3;2;0;0;0;0;0;0;0;0;2022;102;4;Land_Slide
12; Sumatera Utara;1;0;0;0;45072;0;0;0;0;0;0;0;0;0;0;2022;104;4;Abration
12; Sumatera Utara;2;0;0;0;244;0;66;0;0;0;1;0;0;0;0;2022;105;4;Tornado
13; Sumatera Barat;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;105;4;Tornado
16; Sumatera Selatan;4;0;0;0;44;5;81;0;1;0;4;14;0;0;2;2022;105;4;Tornado
19; Bangka Belitung;7;0;0;0;0;177;72;0;0;0;0;1;0;0;0;2022;105;4;Tornado
33; Jawa Tengah;11;0;0;0;0;0;80;0;0;1;0;0;0;0;0;2022;105;4;Tornado
12; Sumatera Utara;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;107;4;Forest Fire
18; Lampung;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;107;4;Forest Fire
62; Kalimantan Tengah;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;107;4;Forest Fire
65; Kalimantan Utara;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;107;4;Forest Fire
12; Sumatera Utara;1;0;0;0;120;0;0;0;0;0;0;0;0;0;0;2022;101;5;Flood
16; Sumatera Selatan;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;101;5;Flood
33; Jawa Tengah;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;101;5;Flood
35; Jawa Timur;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2022;101;5;Flood
64; Kalimantan Timur;1;0;0;0;6092;0;0;0;0;0;0;0;0;0;0;2022;101;5;Flood
