No;City;Total;Died;Lost ;Injured;Suffering;Evacuate;House;School;Medical_Facility;Religious_Place;Public_Facility;Office;Bridge;Factory;Store;Year;Type;Disaster
2; Aceh Singkil;8;;;;;;;;;;;;;;;2020;107;Forest Fire
3; Aceh Selatan;20;;;;;;;;;;;;;;;2020;107;Forest Fire
4; Aceh Tenggara;5;;;;;;;;;;;;;;;2020;107;Forest Fire
5; Aceh Timur;3;;;;;;;;;;;;;;;2020;107;Forest Fire
6; Aceh Tengah;6;;;;;;;;;;;;;;;2020;107;Forest Fire
7; Aceh Barat;8;;;;;;;;;;;;;;;2020;107;Forest Fire
8; Aceh Besar;21;;;;;;;;;;;;;;;2020;107;Forest Fire
10; Bireuen;2;;;;;;;;;;;;;;;2020;107;Forest Fire
11; Aceh Utara;13;;;1;;;;;;;;;;;;2020;107;Forest Fire
12; Aceh Barat Daya;4;;;;;;;;;;;;;;;2020;107;Forest Fire
13; Gayo Lues;5;;;;;;;;;;;;;;;2020;107;Forest Fire
14; Aceh Tamiang;1;;;;;;;;;;;;;;;2020;107;Forest Fire
15; Nagan Raya;6;;;;;;;;;;;;;;;2020;107;Forest Fire
16; Aceh Jaya;21;;;;;;;;;;;;;;;2020;107;Forest Fire
17; Bener Meriah;7;;;;;;;;;;;;;;;2020;107;Forest Fire
18; Pidie Jaya;2;;;;;;;;;;;;;;;2020;107;Forest Fire
72; Kota Sabang;3;;;;;;;;;;;;;;;2020;107;Forest Fire
73; Kota Langsa;13;;;;;;;;;;;;;;;2020;107;Forest Fire
74; Kota Lhokseumawe;11;;;;;;;;;;;;;;;2020;107;Forest Fire
1; Simeulue;2;;;;3;;2;;;;;;;;;2020;108;Earthquake
72; Kota Sabang;2;;;;8;;2;;;1;;;;;5;2020;108;Earthquake
2; Aceh Singkil;1;;;;4894;;;;;;;;;;;2021;101;Flood
3; Aceh Selatan;6;;;;15997;;;;;;;;2;;;2021;101;Flood
4; Aceh Tenggara;3;;;;772;;;;;;;;;;;2021;101;Flood
5; Aceh Timur;5;;;;2898;205;1;;;;;;;;;2021;101;Flood
6; Aceh Tengah;1;;;;285;;;;;;;;;;;2021;101;Flood
7; Aceh Barat;3;;;;4788;;;;;;;;;;;2021;101;Flood
8; Aceh Besar;3;;1;;2660;330;2;1;;;;;;;;2021;101;Flood
9; Pidie;2;;;;11476;14;21;;;;;;;;10;2021;101;Flood
10; Bireuen;1;;;;32;;;;;;;;;;;2021;101;Flood
11; Aceh Utara;2;;;;2693;;;;;;;;;;;2021;101;Flood
12; Aceh Barat Daya;2;;;;7586;5;5;;;;;;;;;2021;101;Flood
13; Gayo Lues;4;;;;463;;1;;;;;;;;;2021;101;Flood
14; Aceh Tamiang;3;;;;30755;10199;;;;;;;;;;2021;101;Flood
15; Nagan Raya;3;;;;3532;;;;;;;;1;;;2021;101;Flood
16; Aceh Jaya;5;;;;9779;389;;;;;;;;;;2021;101;Flood
17; Bener Meriah;2;;;;;;9;;;;;;1;;;2021;101;Flood
18; Pidie Jaya;2;;;;75;;;;;;;;;;;2021;101;Flood
72; Kota Sabang;1;;;;32;15;;;;;;;;;;2021;101;Flood
73; Kota Langsa;4;;;;19320;;9;;;;;;;;;2021;101;Flood
74; Kota Lhokseumawe;2;;;;995;75;;;;;;;;;;2021;101;Flood
75; Kota Subulussalam;1;;;;95;;1;;;;;;;;;2021;101;Flood
3; Aceh Selatan;1;2;;4;;;;;;;;;;;;2021;102;Land_Slide
6; Aceh Tengah;1;;;;;;;1;;;;;;;;2021;102;Land_Slide
7; Aceh Barat;1;;;;;;;;;;;;;;;2021;102;Land_Slide
8; Aceh Besar;1;;;;5;;;;;;;;;;;2021;102;Land_Slide
17; Bener Meriah;2;;;;5;;2;;;;;;;;;2021;102;Land_Slide
3; Aceh Selatan;1;;;;9532;;;;;;;;;;;2021;103;Flood and Land Slide
5; Aceh Timur;1;3;;;8642;1050;1;;;;;;;;;2021;103;Flood and Land Slide
6; Aceh Tengah;1;;;;;;;;;;;;;;;2021;103;Flood and Land Slide
8; Aceh Besar;1;;;;;71;;;;;;;;;;2021;103;Flood and Land Slide
