No;City;Total;Died;Lost ;Injured;Suffering;Evacuate;House;School;Medical_Facility;Religious_Place;Public_Facility;Office;Bridge;Factory;Store;Year;Type;Disaster
7; Ciamis;56;;;2;1777;38;638;;;1;;;;;;2020;105;Tornado
8; Kuningan;8;;;;31;;18;;;;;;;;1;2020;105;Tornado
9; Cirebon;24;2;;9;959;;229;;;2;;;;;;2020;105;Tornado
10; Majalengka;5;;;;15;;19;;;;;;;;;2020;105;Tornado
11; Sumedang;9;;;;35;;23;;;;;;;;;2020;105;Tornado
12; Indramayu;3;;;;;;59;;;;;;;;;2020;105;Tornado
13; Subang;7;;;3;4;5;156;;;;;;;;;2020;105;Tornado
14; Purwakarta;10;;;;25;;30;;;;;;;;;2020;105;Tornado
15; Karawang;3;;;;43;;13;;;;;;;;;2020;105;Tornado
16; Bekasi;3;;;;372;;78;;;;;;;;;2020;105;Tornado
17; Bandung Barat;16;;;1;434;;147;;1;;;;;;1;2020;105;Tornado
18; Pangandaran;21;;;;117;;63;;;;;;;;;2020;105;Tornado
71; Kota Bogor;20;;;4;188;;82;;;;;;;;;2020;105;Tornado
73; Kota Bandung;2;2;;;60;;14;;;;;;;;;2020;105;Tornado
74; Kota Cirebon;2;;;;8;;2;;;;;;;;;2020;105;Tornado
75; Kota Bekasi;1;;;1;795;;111;;;;;;;;;2020;105;Tornado
76; Kota Depok;5;;;1;140;;45;;;;;;;;;2020;105;Tornado
77; Kota Cimahi;4;;;;176;;72;;;;;;;;;2020;105;Tornado
78; Kota Tasikmalaya;19;;;1;76;5;28;;;;;;;;;2020;105;Tornado
79; Kota Banjar;6;;;;46;;16;;;;;;;;;2020;105;Tornado
1; Bogor;3;;;;66084;;;;;;;;;;;2020;106;Drought
4; Bandung;1;;;;10749;;;;;;;;;;;2020;106;Drought
16; Bekasi;1;;;;2150;;;;;;;;;;;2020;106;Drought
1; Bogor;1;;;;;;;;;;;;;;;2020;107;Forest Fire
2; Sukabumi;1;;;;;;;;;;;;;;;2020;107;Forest Fire
4; Bandung;1;;;;;;;;;;;;;;;2020;107;Forest Fire
5; Garut;1;;;;;;;;;;;;;;;2020;107;Forest Fire
9; Cirebon;5;;;;;;;;;;;;;;;2020;107;Forest Fire
10; Majalengka;1;;;;;;;;;;;;;;;2020;107;Forest Fire
11; Sumedang;2;;;;;;;;;;;;;;;2020;107;Forest Fire
18; Pangandaran;1;;;;;;;;;;;;;;;2020;107;Forest Fire
1; Bogor;1;;;;642;51;327;;;;;;;;;2020;108;Earthquake
2; Sukabumi;1;;;12;2991;325;1009;8;;11;;;;;;2020;108;Earthquake
3; Cianjur;1;;;;;;2;;;;;;;;;2020;108;Earthquake
5; Garut;1;;;;10;;1;;;;;;;;;2020;108;Earthquake
6; Tasikmalaya;1;;;;;;27;;;;;;;;;2020;108;Earthquake
7; Ciamis;2;;;2;55;3;26;;;;;;;;;2020;108;Earthquake
8; Kuningan;1;;;;;;23;;;;;;;;;2020;108;Earthquake
18; Pangandaran;1;;;;30;;7;;;;;;;;;2020;108;Earthquake
78; Kota Tasikmalaya;1;;;1;;;3;;;;;;;;;2020;108;Earthquake
79; Kota Banjar;1;;;3;17;;39;;;;;;;;;2020;108;Earthquake
1; Bogor;33;0;0;0;31484;735;157;0;0;1;0;0;1;0;0;2021;101;Flood
2; Sukabumi;7;0;0;4;54;0;5;0;0;0;0;0;1;1;0;2021;101;Flood
3; Cianjur;1;;;;50;;;;;;;;;;;2021;101;Flood
4; Bandung;16;;;2;290717;479;92;;;;;;;;;2021;101;Flood
5; Garut;7;;;;868;65;1;;;;;;1;;;2021;101;Flood
6; Tasikmalaya;1;;;;;;;;;;;;;;;2021;101;Flood
7; Ciamis;4;;;;2276;;43;;;;;;;;;2021;101;Flood
9; Cirebon;9;0;0;0;58713;642;0;4;0;2;0;0;0;0;0;2021;101;Flood
10; Majalengka;7;1;0;2;33777;3920;0;23;5;34;0;7;0;0;0;2021;101;Flood
11; Sumedang;6;;;;986;;4;;;;;;;;;2021;101;Flood
12; Indramayu;2;2;;;211872;26941;18;;;;;;;;;2021;101;Flood
15; Karawang;3;;;1;114877;27740;35;;;;;;;;;2021;101;Flood
16; Bekasi;9;8;0;266;220030;37341;79;0;0;0;0;0;0;0;0;2021;101;Flood
17; Bandung Barat;6;0;0;0;35;0;3;0;0;0;0;0;0;0;0;2021;101;Flood
18; Pangandaran;1;;;;;;;;;;;;;;;2021;101;Flood
71; Kota Bogor;1;;;;250;;;;;;;;;;;2021;101;Flood
74; Kota Cirebon;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;101;Flood
75; Kota Bekasi;4;;;;23055;115;;;;;;;;;;2021;101;Flood
76; Kota Depok;1;;;;500;;;;;;;;;;;2021;101;Flood
78; Kota Tasikmalaya;1;;;;4;;1;;;;;;;;;2021;101;Flood
1; Bogor;112;0;0;3;1038;315;183;0;0;1;0;0;0;0;4;2021;102;Land_Slide
2; Sukabumi;44;1;0;10;1365;1177;101;0;0;0;0;0;0;0;0;2021;102;Land_Slide
3; Cianjur;6;;;;115;321;15;;;;;;;;;2021;102;Land_Slide
4; Bandung;11;1;;;94;472;10;;;;;;;;;2021;102;Land_Slide
5; Garut;8;;;;103;144;2;;;;;;1;;;2021;102;Land_Slide
6; Tasikmalaya;3;;;;297;8;66;1;;;;1;;;1;2021;102;Land_Slide
7; Ciamis;9;;;1;212;168;70;1;;;;;;;;2021;102;Land_Slide
8; Kuningan;3;;;;44;;2;;;;;;;;;2021;102;Land_Slide
9; Cirebon;1;;;;8;;;;;;;;;;;2021;102;Land_Slide
10; Majalengka;6;;;1;18;;4;;;;;;;;;2021;102;Land_Slide
11; Sumedang;22;40;;26;422;1126;76;3;;1;;;;;;2021;102;Land_Slide
13; Subang;2;;;1;7;;1;;;;;;;;;2021;102;Land_Slide
14; Purwakarta;6;;;8;11;345;127;;;;;;;;;2021;102;Land_Slide
16; Bekasi;2;0;0;0;75;112;40;0;0;0;0;0;0;0;0;2021;102;Land_Slide
17; Bandung Barat;12;0;0;0;35;97;9;0;0;0;0;0;0;0;0;2021;102;Land_Slide
71; Kota Bogor;17;;;1;176;;24;1;;;;;;;;2021;102;Land_Slide
76; Kota Depok;2;;;1;;;;;;;;;;;1;2021;102;Land_Slide
78; Kota Tasikmalaya;2;;;1;3;;2;;;;;;;;;2021;102;Land_Slide
1; Bogor;2;;;;844;;2;;;;;;;;;2021;103;Flood and Land Slide
11; Sumedang;2;1;;4;25;;49;;;;;;;;;2021;103;Flood and Land Slide
13; Subang;1;2;;;226691;38453;23;;;;;;2;;;2021;103;Flood and Land Slide
16; Bekasi;1;;2;;142132;166;;;;;;;;;;2021;103;Flood and Land Slide
71; Kota Bogor;1;;;;251;;;;;;;;;;;2021;103;Flood and Land Slide
75; Kota Bekasi;1;1;1;;26960;450;;;;;;;;;;2021;103;Flood and Land Slide
1; Bogor;131;0;0;1;2496;102;622;2;1;3;0;0;0;0;1;2021;105;Tornado
2; Sukabumi;5;;;;76;;18;;;;;;;;;2021;105;Tornado
4; Bandung;6;;;5;20;;18;;;;;;;;;2021;105;Tornado
7; Ciamis;10;;;;91;;27;;;;;;;;1;2021;105;Tornado
9; Cirebon;2;;;6;1144;11;316;;;3;;;;;;2021;105;Tornado
10; Majalengka;2;;;;;;10;;;;;;;;;2021;105;Tornado
12; Indramayu;1;;;;;;10;;;;;;;;;2021;105;Tornado
13; Subang;1;;;1;;;1;;;;;;;;;2021;105;Tornado
14; Purwakarta;2;;;;;;6;;;;;;;;;2021;105;Tornado
15; Karawang;3;;;;22;2;2;;;;;;;;;2021;105;Tornado
16; Bekasi;3;0;0;1;260;0;53;0;0;0;0;0;0;0;0;2021;105;Tornado
17; Bandung Barat;2;;;;4;;3;;;;;;;;;2021;105;Tornado
71; Kota Bogor;3;;;;10;;3;1;;;;;;;;2021;105;Tornado
74; Kota Cirebon;1;;;;22;;6;;;;;;;;;2021;105;Tornado
75; Kota Bekasi;2;;;2;50;;15;;;;;;;;;2021;105;Tornado
76; Kota Depok;2;;;;;;1;;;1;;;;;;2021;105;Tornado
77; Kota Cimahi;1;;;;37;;9;1;;;;;;;;2021;105;Tornado
78; Kota Tasikmalaya;6;;;;64;10;47;;;1;;;;;;2021;105;Tornado
79; Kota Banjar;2;;;;3;;2;;;;;;;;;2021;105;Tornado
1; Bogor;1;;;;830;;;;;;;;;;;2021;106;Drought
9; Cirebon;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;106;Drought
1; Bogor;1;;;;;;6;;;;;;;;;2021;108;Earthquake
2; Sukabumi;1;;;;;;7;;;;;;;;;2021;108;Earthquake
1; Bogor;9;0;0;3;0;0;2;1;0;0;7;0;0;0;0;2022;101;Flood
9; Cirebon;14;0;0;0;23401;254;0;0;0;0;0;0;0;0;0;2022;101;Flood
17; Bandung Barat;7;0;0;0;47;90;6;0;0;0;1;0;0;0;0;2022;101;Flood
74; Kota Cirebon;6;0;0;0;1260;0;0;0;0;0;0;0;0;0;0;2022;101;Flood
1; Bogor;30;1;1;3;0;175;80;1;0;1;2;0;3;0;0;2022;102;Land_Slide
2; Sukabumi;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;102;Land_Slide
3; Cianjur;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;102;Land_Slide
9; Cirebon;4;0;0;0;116;0;4;0;0;0;1;0;0;0;0;2022;102;Land_Slide
17; Bandung Barat;25;0;0;0;10;0;17;0;0;0;0;0;2;0;0;2022;102;Land_Slide
1; Bogor;59;0;0;0;0;0;252;0;0;0;4;0;0;0;1;2022;105;Tornado
9; Cirebon;4;0;0;1;132;4;33;0;0;0;0;0;0;0;6;2022;105;Tornado
17; Bandung Barat;2;0;0;0;95;0;219;0;0;0;0;0;0;0;0;2022;105;Tornado
18; Pangandaran;18;0;0;0;1;0;10;0;0;0;1;0;0;0;0;2022;105;Tornado
74; Kota Cirebon;1;0;0;0;35;0;13;0;0;0;0;0;0;0;0;2022;105;Tornado
1; Bogor;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;106;Drought
18; Pangandaran;3;0;0;0;3;3;0;0;0;0;0;0;0;0;0;2022;107;Forest Fire
1; Bogor;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;2022;108;Earthquake
17; Bandung Barat;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;111;Volcano Eruption
1; Cilacap;6;;;4;860;15;4;;;;;;;;;2019;101;Flood
2; Banyumas;4;;;;154;;7;;;;;;1;;;2019;101;Flood
3; Purbalingga;2;;;;581;;3;;;;;;;;;2019;101;Flood
4; Banjarnegara;1;;;;;;;;;;;;;;;2019;101;Flood
5; Kebumen;2;;;;3619;769;;;;;;;1;;;2019;101;Flood
6; Purworejo;3;;;;39931;476;3;2;;;;;1;;1;2019;101;Flood
7; Wonosobo;2;;;;20;;1;;;;;;1;;;2019;101;Flood
8; Magelang;3;4;;2;70;;;;;;;;;;;2019;101;Flood
9; Boyolali;3;;;;12;;;;;;;;2;;;2019;101;Flood
10; Klaten;1;;;;40;;;;;;;;;;;2019;101;Flood
11; Sukoharjo;1;;;;905;550;;;;;;;;;;2019;101;Flood
12; Wonogiri;3;;;;;269;;;;;;;;;;2019;101;Flood
14; Sragen;4;;;;800;;;;;;;;;;;2019;101;Flood
15; Grobogan;13;0;0;0;125;0;454;1;0;2;0;0;0;0;0;2019;101;Flood
16; Blora;2;;;;40;;;;;;;;;;;2019;101;Flood
17; Rembang;1;;;;;;;;;;;;;;;2019;101;Flood
18; Pati;12;;;;11125;;6;1;;;;;;;;2019;101;Flood
19; Kudus;3;1;;;2057;269;;;;;;;;;;2019;101;Flood
20; Jepara;6;;;1;;;;;;;;;;;;2019;101;Flood
21; Demak;3;;;;;7;;;;;;;;;;2019;101;Flood
22; Semarang;2;1;;1;;;;;;;;;;;;2019;101;Flood
23; Temanggung;5;;;;27;12;;;;;;;1;;;2019;101;Flood
24; Kendal;7;;;2;;;;1;;;;;4;;;2019;101;Flood
25; Batang;1;;;;700;250;;;;;;;;;;2019;101;Flood
26; Pekalongan;2;;;;7860;2784;;4;;;;;;;;2019;101;Flood
27; Pemalang;1;4;2;;;;;;;;;;;;;2019;101;Flood
28; Tegal;2;;;;9065;325;;;;;;;;;;2019;101;Flood
29; Brebes;7;;;;;;2;;;;;;3;;;2019;101;Flood
72; Kota Surakarta;2;;;;;555;;;;;;;;;;2019;101;Flood
74; Kota Semarang;9;1;;;14015;274;6;;;;;;;;;2019;101;Flood
75; Kota Pekalongan;2;;;;;908;5;;;;;;;;;2019;101;Flood
76; Kota Tegal;2;;;;;7;;;;;;;;;;2019;101;Flood
1; Cilacap;19;;;;;122;43;2;;1;;;;;1;2019;102;Land_Slide
2; Banyumas;23;;;;56;15;35;;;;;;3;;;2019;102;Land_Slide
3; Purbalingga;6;;;;9;;6;1;;;;;;;;2019;102;Land_Slide
4; Banjarnegara;32;1;;6;24;289;90;1;;3;;1;2;;1;2019;102;Land_Slide
5; Kebumen;1;;;;;;30;1;;;;;;;;2019;102;Land_Slide
6; Purworejo;16;;;;162;12;81;;;;;;;;;2019;102;Land_Slide
7; Wonosobo;4;2;;2;;10;4;;;;;;;;;2019;102;Land_Slide
8; Magelang;29;1;;4;169;36;39;;;1;;;;;;2019;102;Land_Slide
9; Boyolali;4;;;;17;;7;;;;;;;;;2019;102;Land_Slide
10; Klaten;1;;;;;30;1;;;;;;;;;2019;102;Land_Slide
12; Wonogiri;12;;;;10;73;56;;1;1;;1;;;2;2019;102;Land_Slide
13; Karanganyar;4;;;;;15;4;;;;;;;;;2019;102;Land_Slide
14; Sragen;7;;;2;24;;8;;;;;;;;;2019;102;Land_Slide
15; Grobogan;4;;;;;;4;;;;;;;;;2019;102;Land_Slide
16; Blora;1;;;;;;2;;;;;;;;;2019;102;Land_Slide
18; Pati;3;;;;;;31;;;;;;;;;2019;102;Land_Slide
19; Kudus;3;;;;;;5;;;;;;;;;2019;102;Land_Slide
20; Jepara;10;;;5;9;2;21;;;;;;;;;2019;102;Land_Slide
22; Semarang;10;1;;1;2;;11;;;;;;1;;;2019;102;Land_Slide
23; Temanggung;29;;;2;190;95;73;;;1;;;1;;;2019;102;Land_Slide
24; Kendal;6;;;;15;13;11;;;;;;;;;2019;102;Land_Slide
25; Batang;1;;;;;;1;;;;;;;;;2019;102;Land_Slide
26; Pekalongan;2;;;;;;16;;;1;;;;;;2019;102;Land_Slide
27; Pemalang;1;1;;;10;5;3;;;;;;;;;2019;102;Land_Slide
28; Tegal;2;;;;;;2;;;;;;1;;;2019;102;Land_Slide
29; Brebes;18;2;;1;5;2;24;;;1;;;2;;;2019;102;Land_Slide
74; Kota Semarang;42;1;1;2;77;28;56;1;;;;1;;;1;2019;102;Land_Slide
5; Kebumen;1;;;;;;;;;;;;;;117;2019;104;Abration
24; Kendal;1;1;;;;;;;;;;;;;;2019;104;Abration
74; Kota Semarang;1;;;;5;;1;;;;;;;;;2019;104;Abration
1; Cilacap;36;;;;74;40;424;;;;;;;;1;2019;105;Tornado
2; Banyumas;21;;;4;93;14;77;;;;;;;;1;2019;105;Tornado
3; Purbalingga;7;1;;1;20;;68;;;;;;;;1;2019;105;Tornado
4; Banjarnegara;5;1;;1;5;;1446;23;;1;;;;;2;2019;105;Tornado
5; Kebumen;5;;;2;5;4;21;;;;;;;;;2019;105;Tornado
6; Purworejo;14;;;3;1700;2;60;;;1;;;;;;2019;105;Tornado
7; Wonosobo;6;;;1;;163;1035;3;;1;;;;;;2019;105;Tornado
8; Magelang;32;;;1;3804;6;1846;4;1;1;;1;;;3;2019;105;Tornado
9; Boyolali;21;;;3;329;9;485;2;;2;;;;;;2019;105;Tornado
10; Klaten;17;1;;10;;;395;4;;3;;;;;14;2019;105;Tornado
11; Sukoharjo;7;;;2;;;259;1;;;;;;;2;2019;105;Tornado
12; Wonogiri;23;;;1;75;;242;1;;1;;1;;;1;2019;105;Tornado
13; Karanganyar;7;;;;145;;106;;;;;;;;1;2019;105;Tornado
14; Sragen;22;;;24;115;;584;4;;1;;2;;;8;2019;105;Tornado
15; Grobogan;14;0;0;2;0;0;635;1;1;0;0;0;0;0;0;2019;105;Tornado
16; Blora;11;;;;;5;92;;;;;;;;11;2019;105;Tornado
17; Rembang;1;;;2;;;131;;;;;;;;4;2019;105;Tornado
18; Pati;14;;;2;16;;180;1;;;;;;;1;2019;105;Tornado
19; Kudus;8;;;3;85;;245;2;;1;;;;;2;2019;105;Tornado
20; Jepara;29;;;21;27;12;105;1;;1;;;;;;2019;105;Tornado
21; Demak;6;1;;1;;;204;1;;;;;;;1;2019;105;Tornado
22; Semarang;9;;;3;;;17;;;1;;1;;;1;2019;105;Tornado
23; Temanggung;20;;;4;82;12;147;;;;;;;;1;2019;105;Tornado
24; Kendal;21;;;1;1093;;216;1;;1;;;;;1;2019;105;Tornado
26; Pekalongan;6;;;;5;4;27;;;;;;;;2;2019;105;Tornado
27; Pemalang;5;;;;;44;77;2;;1;;;;;;2019;105;Tornado
28; Tegal;10;;;2;;2;724;7;1;13;;1;;;2;2019;105;Tornado
29; Brebes;12;;;;;;236;3;;;;;;;2;2019;105;Tornado
72; Kota Surakarta;2;;;;;;2;;;1;;;;;1;2019;105;Tornado
74; Kota Semarang;32;;;7;163;;107;1;;1;;;;;5;2019;105;Tornado
76; Kota Tegal;1;;;;;;1;;;;;;;;;2019;105;Tornado
1; Cilacap;1;;;;60475;;;;;;;;;;;2019;106;Drought
2; Banyumas;1;;;;51927;;;;;;;;;;;2019;106;Drought
3; Purbalingga;1;;;;12292;;;;;;;;;;;2019;106;Drought
4; Banjarnegara;1;;;;18369;;;;;;;;;;;2019;106;Drought
5; Kebumen;1;;;;4838;;;;;;;;;;;2019;106;Drought
6; Purworejo;1;;;;70591;;;;;;;;;;;2019;106;Drought
8; Magelang;1;;;;;;;;;;;;;;;2019;106;Drought
9; Boyolali;1;;;;24280;;;;;;;;;;;2019;106;Drought
10; Klaten;1;;;;;;;;;;;;;;;2019;106;Drought
11; Sukoharjo;1;;;;;;;;;;;;;;;2019;106;Drought
12; Wonogiri;1;;;;6078;;;;;;;;;;;2019;106;Drought
13; Karanganyar;1;;;;550;;;;;;;;;;;2019;106;Drought
14; Sragen;1;;;;24689;;;;;;;;;;;2019;106;Drought
15; Grobogan;1;;;;32802;;;;;;;;;;;2019;106;Drought
16; Blora;1;;;;;;;;;;;;;;;2019;106;Drought
17; Rembang;1;;;;;;;;;;;;;;;2019;106;Drought
18; Pati;1;;;;;;;;;;;;;;;2019;106;Drought
20; Jepara;1;;;;;;;;;;;;;;;2019;106;Drought
21; Demak;1;;;;;;;;;;;;;;;2019;106;Drought
22; Semarang;1;;;;13608;;;;;;;;;;;2019;106;Drought
23; Temanggung;1;;;;13120;;;;;;;;;;;2019;106;Drought
24; Kendal;1;;;;1015;;;;;;;;;;;2019;106;Drought
26; Pekalongan;1;;;;7302;;;;;;;;;;;2019;106;Drought
27; Pemalang;1;;;;42176;;;;;;;;;;;2019;106;Drought
28; Tegal;1;;;;17495;;;;;;;;;;;2019;106;Drought
29; Brebes;1;;;;1500;;;;;;;;;;;2019;106;Drought
74; Kota Semarang;1;;;;;;;;;;;;;;;2019;106;Drought
75; Kota Pekalongan;1;;;;1036;;;;;;;;;;;2019;106;Drought
76; Kota Tegal;1;;;;;;;;;;;;;;;2019;106;Drought
2; Banyumas;1;;;;;;;;;;;;;;;2019;107;Forest Fire
3; Purbalingga;1;;;;;;;;;;;;;;;2019;107;Forest Fire
4; Banjarnegara;2;;;;;;;;;;;;;;;2019;107;Forest Fire
6; Purworejo;3;1;;;;;;;;;;;;;;2019;107;Forest Fire
7; Wonosobo;2;;;;;;;;;;;;;;;2019;107;Forest Fire
8; Magelang;13;;;;;;;;;;;;;;;2019;107;Forest Fire
11; Sukoharjo;1;;;;;;;;;;;;;;;2019;107;Forest Fire
12; Wonogiri;10;1;;;;;;;;;;;;;;2019;107;Forest Fire
13; Karanganyar;5;;;;;;;;;;;;;;;2019;107;Forest Fire
14; Sragen;9;;;;;;;;;;;;;;;2019;107;Forest Fire
15; Grobogan;2;1;;;;;;;;;;;;;;2019;107;Forest Fire
19; Kudus;7;;;2;;;;;;;;;;;;2019;107;Forest Fire
20; Jepara;2;1;;;;;;;;;;;;;;2019;107;Forest Fire
22; Semarang;3;;;;;;;;;;;;;;;2019;107;Forest Fire
23; Temanggung;4;2;;;;;;;;;;;;;;2019;107;Forest Fire
24; Kendal;2;;;;;;;;;;;;;;;2019;107;Forest Fire
26; Pekalongan;2;;;;;;;;;;;;;;;2019;107;Forest Fire
28; Tegal;2;;;;;;;;;;;;;;;2019;107;Forest Fire
29; Brebes;2;;;;;;;;;;;;;;;2019;107;Forest Fire
72; Kota Surakarta;1;;;;;;;;;;;;;;;2019;107;Forest Fire
74; Kota Semarang;1;1;;;;;;;;;;;;;;2019;107;Forest Fire
76; Kota Tegal;1;;;;;;;;;;;;;;;2019;107;Forest Fire
1; Cilacap;1;;;;;;1;;;;;;;;;2019;108;Earthquake
20; Jepara;1;;;;;;4;;;1;;;;;;2019;108;Earthquake
1; Cilacap;24;;;;49875;3462;3;;;;;;1;;;2020;101;Flood
2; Banyumas;22;;;3;2169;602;4;1;;;;;1;;1;2020;101;Flood
3; Purbalingga;5;;;;;200;;;;;;;2;;;2020;101;Flood
4; Banjarnegara;2;;;;;;;;;;;;;;1;2020;101;Flood
5; Kebumen;3;;;;304;1;;;;;;;;;;2020;101;Flood
6; Purworejo;3;;;;150;226;;;;;;;1;;;2020;101;Flood
7; Wonosobo;1;;1;;;;;;;;;;;;;2020;101;Flood
8; Magelang;3;;;;211;188;2;;;;;;;;;2020;101;Flood
9; Boyolali;1;;;;;;;;1;;;;;;1;2020;101;Flood
10; Klaten;2;;;;5;;1;;;;;;1;;;2020;101;Flood
11; Sukoharjo;5;;;;690;89;;;;;;;;;;2020;101;Flood
12; Wonogiri;10;;;;45;69;3;;;;;;2;;4;2020;101;Flood
13; Karanganyar;1;;;;;;;;;;;;;;;2020;101;Flood
14; Sragen;2;;;;3415;;;;;;;;;;;2020;101;Flood
15; Grobogan;15;2;;;29582;1;59;;;;;;1;;;2020;101;Flood
16; Blora;10;;;;1495;1;328;;;;;;1;;;2020;101;Flood
17; Rembang;3;;;;;;1;;;;;;;;;2020;101;Flood
18; Pati;17;;;;100;;;;;;;;1;;;2020;101;Flood
19; Kudus;12;;;;3166;124;2;;;;;;1;;;2020;101;Flood
20; Jepara;11;;;;365;2;;4;;2;;;;;;2020;101;Flood
21; Demak;6;;;;16842;2419;;;;1;;;;;;2020;101;Flood
22; Semarang;5;;;;1513;;5;;;;;;;;;2020;101;Flood
23; Temanggung;2;;;;;;3;1;;1;;;;;;2020;101;Flood
24; Kendal;17;2;1;;1270;75;8;;;;;;1;;;2020;101;Flood
25; Batang;4;;;1;4305;129;1;;;;;;;;;2020;101;Flood
26; Pekalongan;4;;;;78865;6912;;;;;;;1;;;2020;101;Flood
27; Pemalang;14;1;;;29518;39;2;;;;;;2;;;2020;101;Flood
28; Tegal;7;;;;4200;878;14;1;;;;;;;;2020;101;Flood
29; Brebes;11;;;;;201;81;;;;;;2;;;2020;101;Flood
72; Kota Surakarta;1;;;;;387;;;;;;;;;;2020;101;Flood
74; Kota Semarang;16;;;;16730;24;9;;;;;;1;;1;2020;101;Flood
75; Kota Pekalongan;8;6;;;14000;5338;;;;;;;;;;2020;101;Flood
76; Kota Tegal;7;;;;6090;123;;;;;;;;;;2020;101;Flood
1; Cilacap;49;;;2;7281;304;174;2;;3;;;4;;;2020;102;Land_Slide
2; Banyumas;63;5;;4;96;67;248;1;;1;;;7;;2;2020;102;Land_Slide
3; Purbalingga;27;;;;714;1347;162;1;;1;;;1;;;2020;102;Land_Slide
4; Banjarnegara;15;;;3;439;498;68;;;2;;;;;;2020;102;Land_Slide
5; Kebumen;10;;;;14;;44;1;;1;;;3;;1;2020;102;Land_Slide
6; Purworejo;16;;;2;;20;75;1;;2;;;1;;1;2020;102;Land_Slide
7; Wonosobo;10;2;;1;;20;22;;;;;;;;;2020;102;Land_Slide
8; Magelang;36;;;2;20;302;103;;;;;;1;;;2020;102;Land_Slide
9; Boyolali;1;;;;;;1;;;;;;;;;2020;102;Land_Slide
12; Wonogiri;16;;;;3;3;25;2;;;;;1;;;2020;102;Land_Slide
13; Karanganyar;13;2;;3;350;27;104;4;;2;;1;;;;2020;102;Land_Slide
14; Sragen;3;;;;;10;2;;;;;;;;;2020;102;Land_Slide
15; Grobogan;2;3;;;;;3;;;;;;;;;2020;102;Land_Slide
16; Blora;3;;;;;;7;;;;;;;;;2020;102;Land_Slide
17; Rembang;4;2;;4;;;3;;;;;;;;;2020;102;Land_Slide
18; Pati;5;1;;2;;10;6;;;;;;;;1;2020;102;Land_Slide
19; Kudus;9;2;;;35;;15;;;;;;;;;2020;102;Land_Slide
20; Jepara;14;0;0;2;0;2;15;0;1;0;0;0;1;0;0;2020;102;Land_Slide
22; Semarang;16;;;;;4;34;1;;;;;1;;;2020;102;Land_Slide
23; Temanggung;23;;;;4;7;29;2;;1;;;2;;;2020;102;Land_Slide
24; Kendal;23;;;;9;29;45;;;1;;;1;;;2020;102;Land_Slide
25; Batang;5;;;;;;11;;;;;;1;;;2020;102;Land_Slide
26; Pekalongan;6;;;;409;3;114;1;;1;;;;;;2020;102;Land_Slide
27; Pemalang;21;;;2;;10;48;;;1;;;1;;;2020;102;Land_Slide
28; Tegal;4;1;;;;19;9;;;;;;;;;2020;102;Land_Slide
29; Brebes;28;1;0;1;0;80;49;0;0;0;0;0;3;0;3;2020;102;Land_Slide
74; Kota Semarang;39;;;5;70;;71;2;;1;;;;;14;2020;102;Land_Slide
75; Kota Pekalongan;1;;;;350;;1;;;;;;;;;2020;102;Land_Slide
1; Cilacap;4;2;;;12937;4905;142;2;;1;;;2;;;2020;103;Flood and Land Slide
2; Banyumas;2;;;;;6390;;;;;;;;;;2020;103;Flood and Land Slide
5; Kebumen;1;;;;;2107;24;;;;;;3;;;2020;103;Flood and Land Slide
18; Pati;1;1;;;;;;;;;;;;;;2020;103;Flood and Land Slide
29; Brebes;1;;;;;830;3;2;;;;;;;;2020;103;Flood and Land Slide
20; Jepara;1;;;;500;;;;;;;;;;;2020;104;Abration
21; Demak;2;;;;;;;;;;;;;;;2020;104;Abration
74; Kota Semarang;2;;;;80;;1;;;;;;;;;2020;104;Abration
76; Kota Tegal;2;;;;110;;;;;;;;1;;59;2020;104;Abration
1; Cilacap;57;;;2;358;50;326;;;;;;;;1;2020;105;Tornado
2; Banyumas;16;;;;160;3;60;2;;;;;;;;2020;105;Tornado
3; Purbalingga;19;;;;213;1;160;1;;1;;;;;;2020;105;Tornado
4; Banjarnegara;3;;;1;;;9;;;;;;;;;2020;105;Tornado
5; Kebumen;3;;;3;;;30;;;2;;;;;6;2020;105;Tornado
6; Purworejo;6;1;;;70;5;21;;;;;;;;;2020;105;Tornado
7; Wonosobo;8;;;;70;;66;;;;;;;;1;2020;105;Tornado
8; Magelang;15;;;2;123;4;118;3;;;;1;;;;2020;105;Tornado
9; Boyolali;1;;;;;25;40;;;;;;;;;2020;105;Tornado
10; Klaten;4;;;;;5;7;;;;;;;;1;2020;105;Tornado
11; Sukoharjo;2;;;;;1;3;;;;;;;;;2020;105;Tornado
12; Wonogiri;8;;;3;310;2;89;;;;;;;;;2020;105;Tornado
13; Karanganyar;4;;;;;;10;;;;;;;;;2020;105;Tornado
14; Sragen;6;;;4;16;5;116;1;;;;;;;3;2020;105;Tornado
15; Grobogan;8;;;;45;;305;;;;;;;;2;2020;105;Tornado
16; Blora;4;;;;;;20;1;;1;;;;;;2020;105;Tornado
